id,title,description,image,price,availability,rating,affiliateUrl,tags,asin
1,Squishy Board Book (Touch & Play),"Bite-resistant board book with textures and silly sounds — perfect for tiny explorers.","https://placehold.co/400x250/ffb6c1/000000?text=Squishy+Book","$9.99","In stock",4.7,"https://www.amazon.com/s?k=Squishy+Board+Book&tag=giftwithai-21","toddler (1-3);child;under $25;family member;books;playful",
2,Chunky Wooden Blocks Set,"Simple, chunky blocks for stacking, knocking down and proud tower photos.","https://placehold.co/400x250/ffd700/000000?text=Wooden+Blocks","$18.99","In stock",4.6,"https://www.amazon.com/s?k=Chunky+Wooden+Blocks&tag=giftwithai-21","toddler (1-3);preschool (4-6);child;toys;under $25",
3,Cuddly Plush Pal (Machine Washable),"Adorable plush with a big heart — naps and snuggles approved.","https://placehold.co/400x250/ffdead/000000?text=Plush+Pal","$17.50","In stock",4.8,"https://www.amazon.com/s?k=Plush+Toy+soft&tag=giftwithai-21","toddler (1-3);child (4-12);under $25;family member;toys",
4,Sticker & Activity Pack (Preschool),"Big sticker sheets, coloring pads and low-mess fun for little artists.","https://placehold.co/400x250/ff7f50/000000?text=Stickers","$11.99","In stock",4.5,"https://www.amazon.com/s?k=Kids+stickers+activity+pack&tag=giftwithai-21","preschool (4-6);toddler (1-3);arts & crafts;under $25;child",
5,Beginner Puzzle (Large Pieces),"Puzzles sized for small hands — cheers guaranteed at completion.","https://placehold.co/400x250/ffa07a/000000?text=Puzzle","$12.99","In stock",4.4,"https://www.amazon.com/s?k=beginner+puzzle+large+pieces&tag=giftwithai-21","preschool (4-6);child (4-12);under $25;toys",
6,Paint-Your-Own Figurine Kit,"Cute figurine and safe paints — perfect for creativity and proud displays.","https://placehold.co/400x250/9acd32/000000?text=Paint+Kit","$16.99","In stock",4.3,"https://www.amazon.com/s?k=paint+your+own+figurine+kit&tag=giftwithai-21","preschool (4-6);arts & crafts;under $25",
7,STEM Snap Circuits (Entry),"Easy circuits that click together — bright lights and proud learning.","https://placehold.co/400x250/00ced1/000000?text=Snap+Circuits","$34.99","In stock",4.6,"https://www.amazon.com/s?k=STEM+snap+circuits&tag=giftwithai-21","kid (7-9);tween (10-12);STEM;$25 - $75;educational",
8,Adventure Chapter Book (Age 7+),"A page-turner with brave kids and silly companions — perfect bedtime reading buddies.","https://placehold.co/400x250/8b4513/ffffff?text=Adventure+Book","$9.99","In stock",4.7,"https://www.amazon.com/s?k=adventure+chapter+book+age+7&tag=giftwithai-21","kid (7-9);child (4-12);books;under $25",
9,Board Game — Family Quick Play,"Short rules, big laughs — great for family game night and new traditions.","https://placehold.co/400x250/ffa07a/000000?text=Board+Game","$29.99","In stock",4.5,"https://www.amazon.com/s?k=family+board+game+quick+play&tag=giftwithai-21","kid (7-9);tween (10-12);$25 - $75;family",
10,Trendy Phone Stand (Compact),"Adjustable, compact, and photogenic — a teen favourite for bedside streaming.","https://placehold.co/400x250/6495ed/ffffff?text=Phone+Stand","$15.99","In stock",4.4,"https://www.amazon.com/s?k=trendy+phone+stand&tag=giftwithai-21","teen (13-19);tech & gadgets;under $25",
11,LED Room Strip Lights,"Instant vibe upgrade — magic for teen rooms and cosy corners.","https://placehold.co/400x250/8a2be2/ffffff?text=LED+Lights","$22.99","In stock",4.3,"https://www.amazon.com/s?k=led+strip+lights&tag=giftwithai-21","teen (13-19);tech & gadgets;holiday/christmas",
12,Novelty Socks Pack (Fun Patterns),"Socks that spark giggles — quirky, cozy, and easy to gift-wrap.","https://placehold.co/400x250/ff69b4/000000?text=Socks","$12.99","In stock",4.2,"https://www.amazon.com/s?k=novelty+socks+pack&tag=giftwithai-21","teen (13-19);under $25;holiday/christmas",
13,Insulated Travel Mug (Stainless),"A trusty mug for commuters and cozy couch days—keeps drinks toasty.","https://placehold.co/400x250/2e8b57/ffffff?text=Travel+Mug","$19.99","In stock",4.6,"https://www.amazon.com/s?k=insulated+travel+mug&tag=giftwithai-21","adult (20-55);under $25;practical",
14,Small Scented Candle — Cozy Blend,"Tiny candle, huge mood: warm, fragrant, and oddly elegant.","https://placehold.co/400x250/ffa500/000000?text=Candle","$9.99","In stock",4.5,"https://www.amazon.com/s?k=scented+candle+small&tag=giftwithai-21","adult (20-55);under $25;home",
15,Reusable Bento Snack Box,"Stylish lunchbox for neat packers and snack ninjas.","https://placehold.co/400x250/20b2aa/ffffff?text=Snack+Box","$14.99","In stock",4.2,"https://www.amazon.com/s?k=reusable+snack+box&tag=giftwithai-21","adult (20-55);under $25;practical",
16,Portable Bluetooth Speaker (Mini),"Tiny speaker, big sound for picnics, playlists, and pockets.","https://placehold.co/400x250/4682b4/ffffff?text=Speaker","$39.99","In stock",4.5,"https://www.amazon.com/s?k=portable+bluetooth+speaker&tag=giftwithai-21","adult (20-55);$25 - $75;tech & gadgets",
17,Quality Coffee Sampler (Taster Set),"A little world tour in coffee sachets — mornings get interesting.","https://placehold.co/400x250/8b4513/ffffff?text=Coffee+Sampler","$29.99","In stock",4.7,"https://www.amazon.com/s?k=coffee+sampler&tag=giftwithai-21","adult (20-55);$25 - $75;gifts",
18,Comfort Mug with Lid (Easy Grip),"Great gift for grandparents — comfy handle, spill-saving lid.","https://placehold.co/400x250/deb887/000000?text=Mug+with+Lid","$18.99","In stock",4.3,"https://www.amazon.com/s?k=comfort+mug+with+lid&tag=giftwithai-21","senior (55+);under $25;family member",
